epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,206.038,1.0937,0.86905,1.25124,0.75668,0.62717,0.70451,0.42566,1.43277,0.9539,1.64328,0.000590385,0.000590385,0.000590385
73,208.653,1.13628,0.86535,1.24826,0.74358,0.70924,0.73288,0.45905,1.34508,0.93413,1.59219,0.000583053,0.000583053,0.000583053
74,211.468,1.10838,0.85272,1.25919,0.74795,0.72413,0.73388,0.46605,1.33922,0.94582,1.59658,0.00057572,0.00057572,0.00057572
75,214.133,1.07843,0.84405,1.24979,0.76053,0.72254,0.74334,0.46233,1.39337,0.95111,1.6369,0.000568388,0.000568388,0.000568388
76,216.674,1.06136,0.84252,1.25828,0.86441,0.71132,0.76235,0.47067,1.33647,0.89706,1.5736,0.000561055,0.000561055,0.000561055
77,219.296,1.09026,0.85361,1.21922,0.84707,0.70368,0.77307,0.46525,1.35932,0.87442,1.58441,0.000553722,0.000553722,0.000553722
78,221.793,1.06991,0.86353,1.21349,0.84036,0.70567,0.77972,0.47377,1.36677,0.85466,1.59403,0.00054639,0.00054639,0.00054639
79,224.418,1.02054,0.82347,1.20523,0.78724,0.72563,0.77157,0.475,1.37906,0.85021,1.61618,0.000539057,0.000539057,0.000539057
80,226.928,1.04004,0.813,1.19711,0.80698,0.71966,0.76392,0.44739,1.48216,0.9087,1.67334,0.000531725,0.000531725,0.000531725
81,229.518,1.05566,0.82086,1.21373,0.86908,0.69267,0.76341,0.44274,1.51469,0.95556,1.71317,0.000524392,0.000524392,0.000524392
82,231.922,1.02253,0.79575,1.18721,0.80571,0.72686,0.76977,0.45873,1.42581,0.92994,1.64513,0.000517059,0.000517059,0.000517059
83,234.424,1.05548,0.82734,1.22047,0.8071,0.75212,0.76951,0.46138,1.40373,0.93353,1.61751,0.000509727,0.000509727,0.000509727
84,237.021,1.07342,0.83332,1.2144,0.77555,0.72502,0.75731,0.46296,1.41968,0.92584,1.62286,0.000502394,0.000502394,0.000502394
85,239.563,1.03633,0.80104,1.20201,0.7861,0.74356,0.75621,0.45279,1.49095,0.9228,1.66983,0.000495062,0.000495062,0.000495062
86,242.02,1.05833,0.81564,1.23149,0.746,0.74872,0.75094,0.4391,1.47718,0.91109,1.65176,0.000487729,0.000487729,0.000487729
87,244.494,1.02072,0.80244,1.1713,0.73561,0.76406,0.77341,0.45323,1.38856,0.87087,1.59094,0.000480396,0.000480396,0.000480396
88,247.124,0.99705,0.7821,1.18903,0.7641,0.775,0.76632,0.47283,1.37809,0.84542,1.61687,0.000473064,0.000473064,0.000473064
89,249.572,1.00138,0.77162,1.17499,0.77189,0.76368,0.7671,0.47216,1.37754,0.88374,1.59824,0.000465731,0.000465731,0.000465731
90,252.065,1.06342,0.81851,1.19761,0.78254,0.7294,0.75544,0.47675,1.36424,0.87326,1.58442,0.000458399,0.000458399,0.000458399
91,254.624,0.99052,0.80537,1.18888,0.76301,0.73353,0.74348,0.48479,1.31687,0.84988,1.56224,0.000451066,0.000451066,0.000451066
92,257.349,1.01286,0.7843,1.20938,0.75562,0.71243,0.7363,0.46777,1.34005,0.86126,1.54947,0.000443733,0.000443733,0.000443733
93,259.894,1.04526,0.77642,1.18658,0.77864,0.73592,0.75396,0.46776,1.42086,0.9187,1.61566,0.000436401,0.000436401,0.000436401
94,262.485,1.0121,0.78503,1.17102,0.80738,0.70727,0.76534,0.46892,1.48918,0.94514,1.68789,0.000429068,0.000429068,0.000429068
95,265,1.02188,0.81599,1.19412,0.83164,0.69798,0.77364,0.47881,1.44798,0.9459,1.68162,0.000421736,0.000421736,0.000421736
96,267.564,0.99437,0.78718,1.17529,0.74171,0.72276,0.75369,0.48162,1.30055,0.90502,1.53157,0.000414403,0.000414403,0.000414403
97,270.286,0.95122,0.75078,1.14062,0.75194,0.73708,0.73868,0.47193,1.31109,0.8957,1.51497,0.00040707,0.00040707,0.00040707
98,272.796,0.98065,0.79101,1.18972,0.72885,0.73765,0.72341,0.46348,1.30738,0.8796,1.50278,0.000399738,0.000399738,0.000399738
99,275.287,1.00774,0.77438,1.1589,0.75129,0.72441,0.71737,0.46257,1.3256,0.89086,1.53724,0.000392405,0.000392405,0.000392405
100,277.888,1.00711,0.78223,1.17564,0.72307,0.72873,0.72821,0.47268,1.39281,0.88599,1.59159,0.000385073,0.000385073,0.000385073
101,280.448,0.99863,0.76624,1.18547,0.70713,0.75351,0.74368,0.47754,1.3513,0.86812,1.55506,0.00037774,0.00037774,0.00037774
102,283.098,0.95248,0.74038,1.1464,0.79214,0.67366,0.73573,0.47763,1.32869,0.8666,1.53848,0.000370407,0.000370407,0.000370407
103,285.812,0.94078,0.7488,1.16244,0.78813,0.67999,0.7388,0.47555,1.35818,0.87214,1.57116,0.000363075,0.000363075,0.000363075
104,288.693,0.95737,0.74675,1.15047,0.82257,0.71938,0.76502,0.49795,1.32229,0.86495,1.54004,0.000355742,0.000355742,0.000355742
105,291.43,0.94583,0.71046,1.1422,0.82971,0.75825,0.7833,0.49083,1.31654,0.87005,1.53487,0.00034841,0.00034841,0.00034841
106,294.245,0.93428,0.7331,1.15252,0.82926,0.77153,0.79374,0.5014,1.31271,0.85737,1.52628,0.000341077,0.000341077,0.000341077
107,296.942,0.97588,0.74556,1.1535,0.8335,0.75142,0.78253,0.50537,1.34053,0.86196,1.53939,0.000333744,0.000333744,0.000333744
108,299.578,0.95929,0.72842,1.13808,0.81653,0.72855,0.77417,0.50846,1.34688,0.87142,1.54425,0.000326412,0.000326412,0.000326412
109,302.452,0.94407,0.72892,1.16114,0.79627,0.75786,0.7802,0.50526,1.33536,0.86503,1.52846,0.000319079,0.000319079,0.000319079
110,305.183,0.96406,0.73567,1.13456,0.83007,0.71545,0.78473,0.5088,1.33209,0.85503,1.54929,0.000311747,0.000311747,0.000311747
111,307.939,0.94468,0.71223,1.15255,0.79602,0.73658,0.77803,0.50079,1.328,0.85086,1.54829,0.000304414,0.000304414,0.000304414
112,310.604,0.93532,0.72446,1.14196,0.79667,0.73966,0.76356,0.49803,1.28784,0.83522,1.49643,0.000297081,0.000297081,0.000297081
113,313.246,0.99346,0.73964,1.13257,0.83103,0.7194,0.76802,0.49651,1.30051,0.85625,1.50538,0.000289749,0.000289749,0.000289749
114,315.939,0.96001,0.72345,1.14731,0.83835,0.71532,0.76818,0.49168,1.34101,0.8424,1.54276,0.000282416,0.000282416,0.000282416
115,318.594,0.95532,0.74134,1.14582,0.81965,0.71109,0.75737,0.48362,1.3324,0.83532,1.54387,0.000275084,0.000275084,0.000275084
116,321.375,0.88863,0.68585,1.11179,0.8273,0.67714,0.74932,0.49434,1.30485,0.83633,1.51945,0.000267751,0.000267751,0.000267751
117,323.962,0.90594,0.70102,1.14708,0.82918,0.70121,0.75336,0.49858,1.32066,0.83612,1.51594,0.000260418,0.000260418,0.000260418
118,326.728,0.93911,0.72053,1.11956,0.76982,0.73537,0.75214,0.49741,1.33867,0.84151,1.52369,0.000253086,0.000253086,0.000253086
119,329.341,0.89311,0.67317,1.1166,0.76022,0.74368,0.75545,0.48668,1.35884,0.85649,1.5321,0.000245753,0.000245753,0.000245753
120,331.997,0.91549,0.6969,1.13138,0.83916,0.68714,0.75811,0.48587,1.34623,0.8466,1.51844,0.000238421,0.000238421,0.000238421
121,334.633,0.83229,0.65112,1.10047,0.76339,0.74979,0.75724,0.48734,1.33019,0.84119,1.51154,0.000231088,0.000231088,0.000231088
122,337.377,0.89822,0.67848,1.11718,0.83626,0.68229,0.76434,0.49465,1.32336,0.82713,1.5092,0.000223755,0.000223755,0.000223755
123,340.247,0.89933,0.67409,1.11446,0.84148,0.70457,0.77918,0.50177,1.3265,0.82377,1.51626,0.000216423,0.000216423,0.000216423
124,342.995,0.89089,0.66278,1.11247,0.81481,0.75896,0.78962,0.50055,1.32605,0.81769,1.53294,0.00020909,0.00020909,0.00020909
125,345.721,0.87803,0.65543,1.10882,0.8125,0.7486,0.77003,0.50143,1.36027,0.83493,1.56716,0.000201758,0.000201758,0.000201758
126,348.269,0.86411,0.64356,1.09684,0.81715,0.74399,0.76421,0.49146,1.38981,0.84027,1.59238,0.000194425,0.000194425,0.000194425
127,350.721,0.85084,0.65541,1.09769,0.78941,0.72799,0.75412,0.48141,1.38441,0.84518,1.57897,0.000187092,0.000187092,0.000187092
128,353.438,0.88839,0.67063,1.11112,0.80036,0.74269,0.75652,0.48444,1.3315,0.82322,1.52918,0.00017976,0.00017976,0.00017976
129,355.977,0.8659,0.66387,1.09972,0.81468,0.72179,0.76108,0.48442,1.32117,0.82407,1.51723,0.000172427,0.000172427,0.000172427
130,358.662,0.87014,0.64948,1.10977,0.79523,0.72149,0.75795,0.48382,1.31909,0.82263,1.51791,0.000165095,0.000165095,0.000165095
131,361.349,0.88509,0.64774,1.09529,0.78365,0.72352,0.75708,0.48448,1.31941,0.8291,1.52743,0.000157762,0.000157762,0.000157762
